State,District,Market,Commodity,Variety,Grade,Arrival_Date,Year,Month,Week,Season,Rainfall_mm,Temperature_C,Humidity_percent,Min_Price_Rs_per_Quintal,Max_Price_Rs_per_Quintal,Modal_Price_Rs_per_Quintal
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-10-03,2025,10,1,Post-Monsoon,45.1,25.2,67.2,3411.98,3657.13,3533.58
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-10-10,2025,10,2,Post-Monsoon,53.2,24.7,66.8,3381.83,3670.72,3533.32
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-10-17,2025,10,3,Post-Monsoon,35.7,21.6,65.7,3460.82,3716.16,3574.72
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-10-24,2025,10,4,Post-Monsoon,82.1,24.7,55.5,3524.93,3843.88,3663.53
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-10-31,2025,10,5,Post-Monsoon,59.2,27.1,41.7,3529.71,3806.22,3657.99
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-11-07,2025,11,6,Post-Monsoon,53.4,24.2,46.1,3501.55,3806.38,3652.46
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-11-14,2025,11,7,Post-Monsoon,92.5,23.0,54.3,3585.16,3916.72,3746.29
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-11-21,2025,11,8,Post-Monsoon,67.2,22.9,63.6,3647.24,3970.84,3796.9
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-11-28,2025,11,9,Post-Monsoon,44.6,23.3,57.3,3593.48,3935.58,3777.76
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-12-05,2025,12,10,Winter,12.1,18.0,43.4,2469.09,2692.17,2594.92
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-12-12,2025,12,11,Winter,7.3,15.6,43.9,2485.05,2714.57,2582.07
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-12-19,2025,12,12,Winter,11.4,18.8,44.5,2436.85,2671.56,2569.2
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2025-12-26,2025,12,13,Winter,10.5,25.4,43.7,2484.99,2686.47,2583.66
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-01-02,2026,1,14,Winter,0.7,21.4,50.3,2426.03,2601.55,2514.68
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-01-09,2026,1,15,Winter,21.2,13.8,49.1,2388.72,2538.25,2454.65
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-01-16,2026,1,16,Winter,5.5,18.3,41.5,2318.6,2537.41,2438.85
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-01-23,2026,1,17,Winter,1.5,19.4,38.6,2332.79,2491.64,2406.68
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-01-30,2026,1,18,Winter,7.4,20.4,36.4,2329.22,2538.75,2422.83
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-02-06,2026,2,19,Winter,0.0,18.6,46.8,2310.13,2472.69,2394.68
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-02-13,2026,2,20,Winter,0.0,19.6,47.1,2258.32,2447.57,2348.74
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-02-20,2026,2,21,Winter,4.6,18.7,47.1,2298.56,2528.2,2405.07
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-02-27,2026,2,22,Winter,13.8,14.4,49.6,2291.62,2509.15,2401.74
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-03-06,2026,3,23,Summer,50.9,30.5,46.7,2727.75,2961.43,2834.09
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-03-13,2026,3,24,Summer,64.1,32.3,34.7,2653.19,2876.75,2779.19
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-03-20,2026,3,25,Summer,28.6,34.0,41.9,2665.28,2872.75,2762.05
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-03-27,2026,3,26,Summer,56.2,32.2,59.0,2671.69,2868.8,2772.17
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-04-03,2026,4,27,Summer,10.7,34.4,38.4,2632.36,2846.81,2729.86
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-04-10,2026,4,28,Summer,28.7,30.5,29.4,2633.3,2874.86,2750.7
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-04-17,2026,4,29,Summer,33.9,29.3,41.2,2628.48,2826.19,2731.42
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-04-24,2026,4,30,Summer,32.8,33.2,32.0,2621.78,2843.1,2724.93
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-05-01,2026,5,31,Summer,49.5,36.2,30.4,2582.33,2822.38,2705.79
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-05-08,2026,5,32,Summer,39.2,34.5,67.0,2684.47,2916.82,2786.38
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-05-15,2026,5,33,Summer,47.2,35.0,37.8,2692.44,2890.09,2791.38
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-05-22,2026,5,34,Summer,25.7,31.5,40.6,2680.8,2831.95,2752.68
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-05-29,2026,5,35,Summer,42.4,28.2,36.7,2698.71,2904.91,2792.15
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-06-05,2026,6,36,Summer,10.6,30.9,44.8,2624.7,2860.03,2746.6
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-06-12,2026,6,37,Summer,30.8,31.0,55.0,2660.77,2837.58,2760.7
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-06-19,2026,6,38,Summer,33.4,31.0,46.0,2564.9,2790.62,2685.07
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-06-26,2026,6,39,Summer,39.1,35.6,31.6,2526.18,2734.91,2636.95
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-07-03,2026,7,40,Monsoon,184.1,31.5,82.4,2902.55,3186.19,3047.51
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-07-10,2026,7,41,Monsoon,336.7,30.1,70.9,2954.9,3234.32,3087.36
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-07-17,2026,7,42,Monsoon,181.1,28.9,84.6,2960.16,3224.42,3101.47
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-07-24,2026,7,43,Monsoon,41.7,26.0,78.5,2954.97,3256.77,3102.29
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-07-31,2026,7,44,Monsoon,141.3,27.1,80.8,2997.47,3191.61,3094.49
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-08-07,2026,8,45,Monsoon,284.0,28.0,74.1,2919.17,3156.95,3032.05
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-08-14,2026,8,46,Monsoon,187.0,28.1,77.7,2887.2,3137.52,3005.37
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-08-21,2026,8,47,Monsoon,307.2,25.5,92.8,2835.97,3107.52,2990.62
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-08-28,2026,8,48,Monsoon,252.4,28.6,76.3,2918.46,3156.78,3044.02
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-09-04,2026,9,49,Monsoon,187.6,29.7,82.1,2930.42,3204.98,3065.8
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-09-11,2026,9,50,Monsoon,236.9,29.6,83.8,2856.34,3100.43,2990.85
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-09-18,2026,9,51,Monsoon,261.1,29.2,79.9,2893.04,3154.91,3011.37
Telangana,Nalgonda,Miryalguda(Rythu Bazar),Potato,Potato,Grade A,2026-09-25,2026,9,52,Monsoon,187.5,29.1,78.8,2876.08,3139.78,3000.0
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-10-03,2025,10,1,Post-Monsoon,75.2,23.2,61.6,1012.6,1097.52,1054.71
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-10-10,2025,10,2,Post-Monsoon,43.0,24.0,63.5,1036.21,1118.62,1069.68
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-10-17,2025,10,3,Post-Monsoon,107.4,22.5,66.1,1050.26,1150.84,1092.77
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-10-24,2025,10,4,Post-Monsoon,42.2,22.3,55.8,1037.53,1135.66,1095.3
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-10-31,2025,10,5,Post-Monsoon,43.3,24.3,62.4,1076.83,1159.37,1108.7
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-11-07,2025,11,6,Post-Monsoon,47.3,22.2,63.4,1052.76,1162.13,1105.75
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-11-14,2025,11,7,Post-Monsoon,85.9,23.1,48.0,1077.85,1157.11,1113.34
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-11-21,2025,11,8,Post-Monsoon,87.2,20.8,55.8,1068.89,1158.24,1113.39
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-11-28,2025,11,9,Post-Monsoon,50.1,25.2,52.5,1071.6,1162.74,1117.24
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-12-05,2025,12,10,Winter,14.1,20.1,37.1,730.24,804.64,768.03
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-12-12,2025,12,11,Winter,12.7,15.8,55.9,730.26,795.92,760.14
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-12-19,2025,12,12,Winter,10.5,24.2,57.3,752.92,821.51,785.51
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2025-12-26,2025,12,13,Winter,15.2,22.1,38.2,747.41,811.16,775.23
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-01-02,2026,1,14,Winter,0.0,14.5,30.7,730.92,796.45,762.66
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-01-09,2026,1,15,Winter,22.0,18.2,56.4,739.9,800.59,777.44
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-01-16,2026,1,16,Winter,9.6,19.2,44.8,746.91,819.33,788.22
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-01-23,2026,1,17,Winter,0.0,20.0,47.6,760.8,826.61,797.18
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-01-30,2026,1,18,Winter,1.5,17.8,51.7,769.27,840.98,806.29
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-02-06,2026,2,19,Winter,5.8,15.6,44.3,770.42,837.38,807.75
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-02-13,2026,2,20,Winter,0.4,23.9,45.2,763.21,831.47,798.5
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-02-20,2026,2,21,Winter,9.1,17.3,49.3,772.6,830.49,801.0
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-02-27,2026,2,22,Winter,5.4,17.2,28.9,755.47,832.76,794.47
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-03-06,2026,3,23,Summer,59.6,32.3,44.0,913.98,1005.77,950.21
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-03-13,2026,3,24,Summer,50.2,32.6,33.3,902.85,989.17,950.01
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-03-20,2026,3,25,Summer,16.4,28.7,35.5,896.44,987.27,940.15
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-03-27,2026,3,26,Summer,45.9,33.0,50.4,900.44,970.16,937.5
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-04-03,2026,4,27,Summer,57.4,34.6,32.7,906.29,978.02,945.18
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-04-10,2026,4,28,Summer,5.1,35.8,53.4,893.64,979.82,939.08
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-04-17,2026,4,29,Summer,18.3,31.5,35.9,887.38,966.82,929.37
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-04-24,2026,4,30,Summer,15.0,33.8,39.6,895.9,966.93,934.63
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-05-01,2026,5,31,Summer,19.6,35.3,43.5,896.82,978.09,939.93
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-05-08,2026,5,32,Summer,43.5,28.0,43.8,893.56,975.25,934.66
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-05-15,2026,5,33,Summer,16.3,27.6,28.6,893.0,968.58,929.93
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-05-22,2026,5,34,Summer,13.7,34.9,28.4,897.26,965.64,935.03
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-05-29,2026,5,35,Summer,18.3,33.1,34.0,877.81,958.79,916.59
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-06-05,2026,6,36,Summer,19.6,35.5,32.1,865.97,942.81,899.07
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-06-12,2026,6,37,Summer,0.0,30.6,44.0,854.45,928.81,891.18
Haryana,Jhajar,Jhajjar APMC,Potato,Other,Medium,2026-06-19,2026,6,38,Summer,19.1,33.3,38.9,860.74,927.07,890.11
